stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1,1,"Jackson & Austin Terminal","Jackson & Austin Terminal, Northeastbound, Bus Terminal",41.87632184,-87.77410482,0,,1
2,2,"5900 W Jackson","5900 W Jackson, Eastbound, Southside of the Street",41.87706679,-87.77131794,0,,1
3,3,"Jackson & Menard","Jackson & Menard, Eastbound, Southside of the Street",41.87695725,-87.76975039,0,,1
4,4,"5700 W Jackson","5700 W Jackson, Eastbound, Southside of the Street",41.87702418,-87.76745055,0,,1
6,6,"Jackson & Lotus","Jackson & Lotus, Eastbound, Southeast Corner",41.876513,-87.761446,0,,1
7,7,"5351 W Jackson","5351 W Jackson, Eastbound, Southside of the Street",41.87655197,-87.75892544,0,,1
8,8,"Jackson & Lockwood","Jackson & Lockwood, Eastbound, Southeast Corner",41.876564,-87.757313,0,,1
9,9,"Jackson & Laramie","Jackson & Laramie, Eastbound, Southeast Corner",41.87659463,-87.75461526,0,,1
10,10,"Jackson & Leamington","Jackson & Leamington, Eastbound, Southeast Corner",41.87662635,-87.7531684,0,,1
11,11,"5047 W Jackson","5047 W Jackson, Eastbound, Southside of the Street",41.8766513,-87.75128256,0,,1
12,12,"Jackson & Lavergne","Jackson & Lavergne, Eastbound, Southeast Corner",41.87662062,-87.74912362,0,,1
13,13,"4849 W Jackson","4849 W Jackson, Eastbound, Southside of the Street",41.87668892,-87.74701737,0,,1
14,14,"Jackson & Cicero","Jackson & Cicero, Eastbound, Southeast Corner",41.87676314,-87.74483066,0,,1
15,15,"Jackson & Kilpatrick","Jackson & Kilpatrick, Eastbound, Southeast Corner",41.87682975,-87.74254901,0,,1
16,16,"Jackson & Kenton","Jackson & Kenton, Eastbound, Southside of the Street",41.87683358,-87.74058525,0,,1
18,18,"Jackson & Kilbourn","Jackson & Kilbourn, Eastbound, Southeast Corner",41.87688572,-87.73761421,0,,1
19,19,"Jackson & Kostner","Jackson & Kostner, Eastbound, Southeast Corner",41.87691497,-87.73515882,0,,1
20,20,"Jackson & Kildare","Jackson & Kildare, Eastbound, Southeast Corner",41.876933,-87.73265,0,,1
21,21,"Jackson & Keeler","Jackson & Keeler, Eastbound, Southeast Corner",41.876963,-87.7302,0,,1
22,22,"Jackson & Karlov","Jackson & Karlov, Eastbound, Southeast Corner",41.8770066,-87.72780787,0,,1
23,23,"Jackson & Pulaski","Jackson & Pulaski, Eastbound, Southeast Corner",41.87704003,-87.72532923,0,,1
24,24,"Jackson & Springfield","Jackson & Springfield, Eastbound, Southeast Corner",41.87706855,-87.72295441,0,,1
25,25,"Jackson & Hamlin","Jackson & Hamlin, Eastbound, Southwest Corner",41.87708065,-87.72082664,0,,1
26,26,"Jackson & Central Park","Jackson & Central Park, Eastbound, Southeast Corner",41.87714182,-87.7154772,0,,1
27,27,"Jackson & St. Louis","Jackson & St. Louis, Eastbound, Southeast Corner",41.877181,-87.713241,0,,1
29,29,"Jackson & Spaulding","Jackson & Spaulding, Eastbound, Southeast Corner",41.87723116,-87.70827664,0,,1
30,30,"Jackson & Kedzie","Jackson & Kedzie, Eastbound, Southeast Corner",41.87725804,-87.70577393,0,,1
31,31,"Jackson & Albany","Jackson & Albany, Eastbound, Southeast Corner",41.877288,-87.703323,0,,1
32,32,"Jackson & Sacramento","Jackson & Sacramento, Eastbound, Southeast Corner",41.877318,-87.700867,0,,1
34,34,"Jackson & California","Jackson & California, Eastbound, Southeast Corner",41.87737082,-87.69595515,0,,1
36,36,"2609 W Jackson","2609 W Jackson, Eastbound, Southwest Corner",41.8774236,-87.69165753,0,,1
38,38,"Jackson & Western","Jackson & Western, Eastbound, Southeast Corner",41.87748942,-87.68602572,0,,1
39,39,"Jackson & Oakley","Jackson & Oakley, Eastbound, Southeast Corner",41.877496,-87.683652,0,,1
40,40,"Jackson & Leavitt","Jackson & Leavitt, Eastbound, Southeast Corner",41.87754396,-87.68127094,0,,1
41,41,"Jackson & Hoyne","Jackson & Hoyne, Eastbound, Southeast Corner",41.87739502,-87.67873587,0,,1
42,42,"Jackson & Damen","Jackson & Damen, Eastbound, Southwest Corner",41.877421,-87.67667235,0,,1
44,44,"Damen & Congress","Damen & Congress, Southbound, Northwest Corner",41.87513747,-87.67664239,0,,1
48,48,"Harrison & Wood","Harrison & Wood, Eastbound, Southeast Corner",41.874059,-87.671334,0,,1
51,51,"Ashland & Van Buren","Ashland & Van Buren, Northbound, Northeast Corner",41.87655158,-87.66651521,0,,1
52,52,"Malcolm X College","Malcolm X College, Eastbound, Southside of the Street",41.87743988,-87.67402389,0,,1
53,53,"Jackson & Ogden","Jackson & Ogden, Eastbound, Southwest Corner",41.87748733,-87.67103731,0,,1
54,54,"Jackson & Paulina","Jackson & Paulina, Eastbound, Southeast Corner",41.8775244,-87.66899047,0,,1
55,55,"Jackson & Ashland","Jackson & Ashland, Eastbound, Southwest Corner",41.87755467,-87.66689065,0,,1
